type,timestamp,positions,velocities,torques
STATE_MOTOR,64189451.538999945,"[-0.14572817484913592, 0.1081456455459377, 0.5836796897904865, -0.009203884727313847, -0.003834951969714103, 0.46153846153846156]","[0.07669903939428206, 0.07669903939428206, 0.15339807878856412, -0.30679615757712825, -0.23009711818284617, 0.38349519697141027]","[0.0, 0.0, 0.0, 0.068442, 0.022814, 0.022814]"
STATE_MOTOR,64209529.55099995,"[-0.14572817484913592, 0.10967962633382335, 0.5882816321541434, -0.01380582709097077, -0.008436894333371026, 0.46503496503496505]","[0.0, 0.07669903939428206, 0.23009711818284617, -0.23009711818284617, -0.23009711818284617, 0.46019423636569234]","[0.0, 0.0, 0.0, 0.068442, 0.022814, 0.045628]"
STATE_MOTOR,64229609.098999955,"[-0.14419419406125028, 0.11274758790959462, 0.5913495937299147, -0.018407769454627694, -0.01457281748491359, 0.46923076923076923]","[0.07669903939428206, 0.15339807878856412, 0.23009711818284617, -0.23009711818284617, -0.23009711818284617, 0.38349519697141027]","[0.0, 0.0, 0.0, 0.068442, 0.022814, 0.045628]"
STATE_MOTOR,64249687.87900002,"[-0.14419419406125028, 0.11428156869748027, 0.5928835745178003, -0.02454369260617026, -0.017640779060684873, 0.47482517482517483]","[0.0, 0.15339807878856412, 0.07669903939428206, -0.23009711818284617, -0.23009711818284617, 0.5368932757599744]","[0.0, 0.0, 0.0, 0.068442, 0.0, 0.022814]"
STATE_MOTOR,64269768.00299997,"[-0.14419419406125028, 0.11428156869748027, 0.5990194976693428, -0.02914563496982718, -0.019174759848570515, 0.479020979020979]","[0.0, 0.0, 0.15339807878856412, -0.23009711818284617, 0.0, 0.46019423636569234]","[0.0, 0.0, 0.0, 0.045628, 0.022814, 0.022814]"
STATE_MOTOR,64289908.09799995,"[-0.14419419406125028, 0.1158155494853659, 0.6051554208208855, -0.0337475773334841, -0.023776702212227437, 0.4825174825174825]","[0.0, 0.0, 0.30679615757712825, -0.30679615757712825, -0.23009711818284617, 0.46019423636569234]","[0.0, 0.0, 0.022814, 0.045628, 0.0, 0.045628]"
STATE_MOTOR,64309987.93399999,"[-0.14419419406125028, 0.11888351106113719, 0.606689401608771, -0.03834951969714103, -0.02684466378799872, 0.4874125874125874]","[0.0, 0.07669903939428206, 0.30679615757712825, -0.15339807878856412, -0.23009711818284617, 0.46019423636569234]","[0.0, 0.022814, 0.0, 0.045628, 0.022814, 0.0]"
STATE_MOTOR,64330066.26600002,"[-0.14419419406125028, 0.12195147263690848, 0.606689401608771, -0.04295146206079795, -0.03144660615165564, 0.49230769230769234]","[0.0, 0.23009711818284617, 0.0, -0.30679615757712825, -0.15339807878856412, 0.5368932757599744]","[0.022814, 0.022814, 0.0, 0.045628, 0.0, 0.022814]"
STATE_MOTOR,64350146.613999985,"[-0.14419419406125028, 0.12195147263690848, 0.6097573631845423, -0.047553404424454875, -0.03451456772742693, 0.4958041958041958]","[0.0, 0.07669903939428206, 0.0, -0.23009711818284617, -0.23009711818284617, 0.46019423636569234]","[0.022814, 0.0, 0.0, 0.045628, 0.022814, 0.068442]"
STATE_MOTOR,64370225.426000044,"[-0.14419419406125028, 0.12195147263690848, 0.6174272671239706, -0.05062136600022616, -0.03911651009108385, 0.5013986013986014]","[0.0, 0.0, 0.30679615757712825, -0.15339807878856412, -0.15339807878856412, 0.46019423636569234]","[0.022814, 0.022814, 0.022814, 0.068442, 0.0, 0.022814]"
STATE_MOTOR,64390303.98199998,"[-0.14419419406125028, 0.12195147263690848, 0.6189612479118562, -0.05368932757599744, -0.04371845245474077, 0.5055944055944056]","[0.0, 0.0, 0.23009711818284617, -0.23009711818284617, -0.23009711818284617, 0.5368932757599744]","[0.0, 0.0, 0.0, 0.068442, 0.0, 0.022814]"
STATE_MOTOR,64410385.13000001,"[-0.14419419406125028, 0.12348545342479411, 0.6189612479118562, -0.05829126993965436, -0.045252433242626414, 0.5104895104895105]","[0.0, 0.07669903939428206, 0.07669903939428206, -0.15339807878856412, -0.15339807878856412, 0.5368932757599744]","[0.022814, 0.0, 0.0, 0.045628, 0.022814, 0.022814]"
STATE_MOTOR,64430463.94199996,"[-0.14419419406125028, 0.12348545342479411, 0.6220292094876275, -0.06289321230331128, -0.04832039481839769, 0.5153846153846153]","[0.0, 0.0, 0.0, -0.15339807878856412, -0.07669903939428206, 0.46019423636569234]","[0.022814, 0.0, 0.0, 0.022814, 0.0, 0.022814]"
STATE_MOTOR,64450542.81800003,"[-0.14419419406125028, 0.12348545342479411, 0.6266311518512844, -0.06596117387908257, -0.05138835639416898, 0.5195804195804196]","[0.0, 0.0, 0.23009711818284617, -0.23009711818284617, -0.23009711818284617, 0.46019423636569234]","[0.022814, 0.022814, 0.022814, 0.045628, 0.022814, 0.022814]"
STATE_MOTOR,64470623.00599998,"[-0.14419419406125028, 0.12348545342479411, 0.6266311518512844, -0.06902913545485385, -0.0559902987578259, 0.5230769230769231]","[0.0, 0.0, 0.15339807878856412, -0.15339807878856412, -0.15339807878856412, 0.46019423636569234]","[0.022814, 0.022814, 0.0, 0.045628, 0.022814, 0.045628]"
STATE_MOTOR,64490701.78600004,"[-0.14266021327336462, 0.12348545342479411, 0.6296991134270556, -0.07363107781851078, -0.05752427954571154, 0.527972027972028]","[0.0, 0.0, 0.07669903939428206, -0.23009711818284617, -0.15339807878856412, 0.46019423636569234]","[0.022814, 0.0, 0.0, 0.045628, 0.022814, 0.022814]"
STATE_MOTOR,64510781.29899997,"[-0.14112623248547898, 0.12348545342479411, 0.6343010557907126, -0.07516505860639641, -0.06059224112148282, 0.5321678321678321]","[0.15339807878856412, 0.0, 0.15339807878856412, -0.15339807878856412, -0.07669903939428206, 0.5368932757599744]","[0.022814, 0.0, 0.022814, 0.068442, 0.0, 0.022814]"
STATE_MOTOR,64530860.39499999,"[-0.1380582709097077, 0.12348545342479411, 0.6373690173664839, -0.0782330201821677, -0.0636602026972541, 0.5363636363636364]","[0.07669903939428206, 0.0, 0.23009711818284617, -0.07669903939428206, -0.15339807878856412, 0.38349519697141027]","[0.022814, 0.022814, 0.0, 0.045628, 0.022814, 0.022814]"
STATE_MOTOR,64550938.43600003,"[-0.1349903093339364, 0.12348545342479411, 0.6373690173664839, -0.07976700097005333, -0.06672816427302539, 0.5398601398601398]","[0.07669903939428206, 0.0, 0.07669903939428206, -0.15339807878856412, -0.23009711818284617, 0.46019423636569234]","[0.022814, 0.0, 0.0, 0.022814, 0.0, 0.0]"
